אַ ביסל|קצת|a little
סטודענט|סטודנט|student
סטעליע|תקרה|ceiling
סטעפעס|ערבות (שטחי מרעה)|steppes
סטריט|רחוב (מאנגלית)|street (English)
סיי|הן|both, whether
סיידן|אלא אם|unless
סמאָלענסק|סמולנסק (עיר)|Smolensk (city)
סמיליאַן|שם מקום|Smilyan (place name)
סעקרעטער|מזכיר|secretary
סערוועטקע|מפית|napkin
סערפּ|מגל|sickle
ספּעציעל|מיוחד|special
סקארבאווע|שגרתי, שבלוני|routine, stock
סקווער|כיכר|square
סקונדע|שניה|second
סתם כך|כך פשוט|just like that
עבודהדיג|של עבודה (עבודת ה')|of avodah (divine service)
עהנליך|דומים|similar
עהנליכע|דומה|similar
עהנליכקייט|יַשרוּת|similarity
עובר זיין|לעבור על|to transgress
עוואַקואירט (זיך)|יצאו, התפנו|were evacuated
עוואַקואַירט זיך|התפנה|evacuated
עוואַקואַציע|יציאה, פינוי|evacuation
עופה'לה|עוף קטן|little bird; baby
עופעלע|תינוק|infant, baby
עטוואָס|קצת, במקצת, משהו|somewhat, something
עטליכע|כמה, אחדים|several, a few
עטלעכע|כמה|several, a few
עלטער|גיל, מבוגר יותר|age; older
עלטער ווערן|להזדקן|to grow old
עלטער (יאָרן)|זקנה|old age
עלטער־זיידע|סבא רבא|great-grandfather
עלטערן|הורים|parents
עלטערע|מבוגרים, זקנים|elders, older ones
עלטערער|מבוגר יותר|older
עלנבויגן|מרפק|elbow
עלנט|בודד, גלמוד|lonely, forlorn
עלענד|בדידות; אומלל|loneliness; wretched
עלעקטריע|חשמל|electricity
עלעקטרישע|חשמליים, חשמלית|electric
עלף|אחת עשרה|eleven
עמיגראַנט|מהגר|emigrant
עמיגראנטען|מהגרים|emigrants
עמיגראַציע|הגירה|emigration
עמיצער|מישהו|someone
עמעמצער|מישהו|someone
עמעצן|מישהו|someone
עמער|דלי|bucket, pail
עמקן|להעמיק; עמוק (בהטיה)|to deepen; deep
ענג|צר, צפוף|narrow, cramped
ענדיגט-זיך|הִסתיים|ends, finished
ענדיקן|לסיים|to finish, to end
ענדליך|סוף-סוף|finally
ענדלך|כבר|finally, already
ענדלעך|כבר, סוף-סוף, סופית|finally
ענדע|סוף|end
ענדערוּנג|שינוי|change
ענדערן|לשנות|to change
ענו|עניו|humble
ענטהאַלט|כולל, מכיל|contains, includes
ענטווייקלוּנג|התפתחות (התגלות)|development
ענטווייקעלט|מִתפתחת|develops
ענטוויקלט|מפותח; פיתח|developed
ענטפער|לענות, להשיב, תשובה|to answer; answer
ענטפערט|עונה|answers
ענטפערן|לענות|to answer
ענטפערס|תשובות, תשובה|answers
ענטפערסט|עונה (אתה)|(you) answer
ענין|עניין|matter, topic
ענין חשוב|עניין חשוב|important matter
ענינים|עניינים|matters, topics
ענליך|דומה|similar
ענלעך|דומה|similar
ענלעכע|דומים|similar (pl.)
ענערגיע|אנרגיה, כוח|energy
עס|זה, הוא (סתמי)|it
עס פרירט|קר, קופא|it is freezing
עסט|אוכל (אתה)|(you) eat
עסטרייך|אוסטריה|Austria
עסן|לאכול|to eat
עסן געבן|להאכיל|to feed
עפּאָלעטן|כתפיות|epaulets
עפטער|הנהגות|more often
עפּיס|משהו, דבר מה, משהו|something
עפּל|תפוח|apple
עפנטלעך|באופן גלוי|openly, publicly
עפּעל|תפוחים|apples
עפען|פותח (אני)|(I) open
עפעןט|פותח (הוא)|(he) opens
עפעןסט|פותח (אתה)|(you) open
עפענט|פותח (מן עפענען)|opens
עפענען|לפתוח, לפרוס|to open
עפּעס|משהו|something
עצה געבן|לייעץ|to give advice
עק|קצה, סוף|end, edge; tail
עקאנאמיש|כלכלי|economic
עקאָנאָמישער (לאַגע) ר"ס|(מצב) כלכלי|economic (situation)
עקזיסטירען|להתקיים|to exist
עקזיסטענץ|קיום, התקיימות|existence
עקזעמפּלאַר|עותק|copy, specimen
עקזעמפלאַרן|עותקים|copies
עקן|פינות|ends, corners
ער|הוא|he
עראָפּלאַן|מטוס|airplane
ערגיץ|אֵי-שם|somewhere
ערגסטער|הגרוע ביותר|worst
ערגעץ|איפה שהוא|somewhere
ערגער|גרוע יותר|worse
ערגער ווערן|להחמיר|to get worse
ערגץ|איפה שהוא|somewhere
ערד|ארץ, קרקע|earth, ground
ערדישער|ארצי|earthly
ערוואכט|התעורר|awoke
ערווארט|ציפה, מצפה|expected, awaits
ערוואַרטען|מחכים, מצפים|to await, to expect
ערוועקט|עורר|awakened, aroused
ערטער|מקומות|places
עריב|נעים|pleasant
עריבות|ערבות, נעמיות|pleasantness
ערלויבט|אישר, הרשה|permitted, allowed
ערלויבען|להרשות|to permit
ערלויבעניש|רשות, רִשיון|permission, license
ערליכע|יראי שמים, ישרים|pious, honest (pl.)
ערלעך|ישר, הגון|honest, upright
ערלעכע|ישרים, יראי שמים|honest, pious (pl.)
ערלעכער|ישר, ירא שמים|honest, pious
ערלעכער איד|יהודי ירא שמיים|a pious Jew
ערמונטערט|מעודד, ממריץ|encouraged, spurred
ערנטס|רציני|serious
ערנטסקייט|רצינות|seriousness
ערנסט|רציני|serious
ערנסטן|לרצינות|serious (inflected)
ערנסטע|רציני (נקבה/רבים)|serious (f./pl.)
ערנסטער|רציני (זכר)|serious (m.)
ערנסטקייט|רצינות|seriousness
ערפאַהרען|לגלות, לחוות|to find out, to experience
ערפאַרונגען|ניסיונות, חוויות|experiences
ערפילט|ממלא|fulfills
ערצויגען|חינך|raised, educated
ערציהונג|חינוך|upbringing, education
ערציהער|מחנך|educator
ערציילונג|סיפור|story, tale
ערציילונגען|סיפורים|stories
ערציען|לחנך|to raise, to educate
ערקלערונג|הסבר, ביאור|explanation
ערקלערונגן|הסברים, ביאורים|explanations
ערקלערט|ביאר|explained
ערקלערען|להסביר|to explain
עררייכן|להשיג, להגיע אל|to attain, to reach
ערשט|רק עתה, זה עתה|just now; only
ערשטין|(=ערשטן) ראשון|first
ערשטן|ראשון|first (inflected)
ערשטנס|ראשית, קודם כל|first of all
ערשטער|ראשון|first
ערשיינט|מתגלה|appears
פאַבריק|בית חרושת|factory
פּאָגראָם|פוגרום|pogrom
פאגראמען|פוגרומים|pogroms
פאָדעם|חוט|thread
פאָדערגרונט|חזית, קדמת הבמה|foreground
פאדערהויז|פרוזדור, חדר כניסה|front room, vestibule
פאָדערונג|דרישה, תביעה|demand
פאָדערט|דורש, תובע, דורש|demands
פאָדערן|לדרוש, לתבוע|to demand
פאדערצימער|פרוזדור, חדר קדמי|antechamber, front room
פאדערשטיבעל|חדר קדמי, פרוזדור|front room, vestibule
פאדעשוועס|סוליות|soles
פאָהרט|נוסע|travels, drives
פאהרן|לנסוע|to travel, to drive
פּאָזיציעס|עמדות|positions
פאָטאָגראַיעס|תמונות|photographs
פאָטאָגראַף|צלם|photographer
פאָטאָגראַפיע|צילום, תמונה|photograph
פאטער|אבא, אב|father
פאטערס|של האב; אבות|father's; fathers
פאטש|סטירה; מחיאת כף|slap; clap
פאטשט|דואר (מרוסית)|post, mail (Russian)
פאַטשיילע|מטפחת ראש|headscarf
פאטשיילעס|מטפחות|kerchiefs
פאטשן|למחוא כפיים; לסטור|to clap; to slap
פאַך|תחום, מקצוע|field, profession
פאַכמאַן|בעל מקצוע|expert, professional
פאַל|מקרה|case
פֿאַל|נפול!|fall!
פאלאץ|ארמון|palace
פאלאצקער|מפולוצק|of Polotsk
פֿאָלג|ציית!|obey!
פֿאָלגט|מציית|obeys
פֿאָלגן|לציית|to obey
פאָלגנדיקע|הבאים|the following
פאלגענדע|הבאים, דלהלן|the following
פאלגענדער|הבא, דלהלן|the following
פאלווארק|אחוזה חקלאית|farmstead, manor
פאַלט|נופל, נפל|falls, fell
פֿאַלט|נופל|falls
פאלטאווע|פולטבה (עיר באוקראינה)|Poltava (city in Ukraine)
פּאָליטיק|פוליטיקה|politics
פאליטיקער|פוליטיקאי|politician
פאליטיש|פוליטי|political
פאליציי|משטרה|police
פֿאַלן|ליפול|to fall
פאַלסט|נופל (אתה)|(you) fall
פּאָלעס|כנפי בגדיהם|coattails, flaps
פאָלק|אנשים|people, nation
פאָלקאָם|לחלוטין, מושלם|completely, perfect
פאַָלקס־העלד|גיבור עממי|folk hero
פאַלש|כוזב|false
פאַלשן|שקרי, מזויף (מוטה)|false, forged (inflected)
פאַלשע|כוזב|false
פאַלשער|שקרי, מזויף (זכר)|false, forged (m.)
פאַמיליע|מכתב|family
פאַמיליען|משפחות|families
פאמיליעס|משפחות|families
פּאַמעלעך|לאט|slowly
פאַן|מחבת|pan
פאנאנדער|לחוד, זה מזה|apart, asunder
פאנאנדערגיין|להתפזר, להיפרד|to disperse, to part
פאַנאַנדערגיין זיך|להתפרד, להתפזר|to disperse
פאַנאַנדערגעבן|לחלק, להפיץ|to distribute
פאַנאַנדערגעוויינט|בוכה מפוזר, בוכה לכל עבר|weeping all over
פאַנאַנדערגעלאָזט|עזב|let apart, released
פאַנאַנדערגערעדט|פוצץ בדיבורים, פיזר דברים|talked at length, dispersed
פאַנאַנדערגעשפּרייט|התפשטו|spread out
פאַנאַנדערקלייבּען|להבחין, לברר|to sort out, to distinguish
פאנגט|מתחיל (פאנגט אן)|begins
פאַנגט זיך אָן|מתחילה|begins
פאַנגען|לתפוס, ללכוד|to catch, to capture
פאנטאפלעך|נעלי בית|slippers
פּאַס|דרכון|passport
פאסט|מתאים, הולם; דואר|fits, suits; post
פאַסטן|לצום|to fast
פּאַסטקע|מלכודת|trap
פּאַסיר|קורה, מתרחש (אני)|(it) happens
פּאַסירונג|אירוע|event, occurrence
פּאַסירונגען|מאורעות, אירועים|events
פּאסירט|אירע|happened
פּאַסירסט|קורה, מתרחש (אתה)|happens
פּאַסענד|המתאים|fitting, suitable
פּאַפּיר|נייר|paper
פּאַפּיראס|סיגריה|cigarette
פאפירן|של נייר|of paper
פאַקט|עובדה|fact
פאַקטיש|עובדתי|factual, actually
פאַקטן|עובדות|facts
פאקן|לארוז; לתפוס|to pack; to grab
פאקסימיליא|פקסימיליה, צילום מדויק|facsimile
פּאָר|כמה, זוג, כמה|a few, a pair
פֿאָר|נסע!|travel!, drive!
פּאַראַגראַף|פסקה|paragraph
פּאַראַד|תהלוכה|parade
פאראדקעס|סדרים, משטרים (מרוסית)|orders, regulations (Russian)
פאָראויס|קדימה|forward, ahead
פאַראוּמגעליקלענען|מאַמללים|making miserable
פאַראַיאָרן|בשנה שעברה|last year
פאַראַיאָרען|לפני שנים, בשנים עברו|years ago
פאַראייביקט|הנציח|immortalized
פאַראייניגט|מִתאחדים|united
פאַראייניגט|מִתאחד|united
פאראייניגען|לאחד|to unite
פאראייניקונג|איחוד|unification, union
פאראיינציגט|מאוחד, מיוחד|united, singular
פאַראיינציגקייט|הִתאחדות|unification, oneness
פאַראינטערעסירט|מעוניין|interested
פאַראינטערעסירט רס"ג|עִנְיֶן|interested
פאראינטערעסירען|לעניין|to interest
פאַראַן|יש, קיים|there is, exists
פאַראַנטוואָרטלעך|אחראי|responsible
פאַראַנטוואָרטלעכע|בעל-אחריות|responsible
פאַראַנטוואָרטלעכקייט|אחריות|responsibility
פאַראָרדנט געוואָרן|ציוה, פקד, צווה|was ordered, decreed
פֿאַרב|צבע|color, paint
פארבאָט|איסור|prohibition
פארבאָטן|לאסור|to forbid; forbidden
פאַרבאָטן זיך|אוסרים עצמם|forbid themselves
פאַרבּאַנד|חיבור(ים)|union, connection
פאַרבאָרגן|נסתר, חבוי|hidden, concealed
פאַרבאָרגענישן|סודות, חבויים|hidden things, secrets
פאַרבאָרגענע|נסתרים, חבויים|hidden (pl.)
פאָרבאַרייטונגען|הכנות|preparations
פארבונד|ברית, איגוד|union, alliance
פאַרבונדן|קשור, מחובר|connected, bound
פאַרבונדענע|קשור|connected
פאַרביטערט|ממורמר|embittered
פארביי|חלף, עבר|past, over
פאַרבּייגויענדיג|בְּעוֹברי|passing by
פאַרבייגייענדיג|כִלְאַחַר-יד, דֶרֶך- אַגַב בעברי, בחלפי|in passing
פאַרבייגעגאַנגען|חלף, עבר|passed by
פארבייטן|להחליף|to exchange, to replace
פארבייסן|לטעום מזונות (אחרי משקה); לנשנש|to have a bite, to snack
פֿאַרבינד|חבר!|connect!
פאַרבינדונג|קשר, חיבור|connection, link
פֿאַרבינדט|מחבר|connects
פֿאַרבינדן|לחבר|to connect, to bind
פאַרביסנקייט|שנאה (תהומית)|bitterness, doggedness
פֿאַרביק|צבעוני|colorful
פאַרבליבן|נשאר|remained
פֿאַרבלייבט|נשאר|remains
פֿאַרבלייבן|להישאר|to remain
פאַרבּלענדעט|מסנוור|dazzled, blinded
פאַרבלענדעט|מסנור|dazzled, blinded
פֿאַרבן|צבעים|colors
פארבעטן|להזמין|to invite
פאַרבענט געוואָרן|נשרף|was burned
פאַרבעסערט|משופר|improved
פארבעסרן|לשפר|to improve
פאַרבּראַכט|הִתוועד(נו)|spent (time), gathered
